mu_g,b,Γ_sch/Γ0,Ecrit_poly/Ecrit0,Γ_inst_avg,Γ_total/Γ0
0.11421052631578947,6.315789473684211,2.366676123484991e+17,-8.007304845103376e-09,0.047619047619047616,2.366676123484991e+17
0.11421052631578947,7.368421052631579,2.2335117043676266e+17,-8.007304845103376e-09,0.047619047619047616,2.2335117043676266e+17
0.11421052631578947,8.421052631578947,2.111278095899743e+17,-8.007304845103376e-09,0.047619047619047616,2.111278095899743e+17
0.11421052631578947,9.473684210526315,1.9988108871243792e+17,-8.007304845103376e-09,0.047619047619047616,1.9988108871243792e+17
0.11421052631578947,10.526315789473683,1.8950966860061885e+17,-8.007304845103376e-09,0.047619047619047616,1.8950966860061885e+17
0.11421052631578947,11.578947368421051,1.7992502111224832e+17,-8.007304845103376e-09,0.047619047619047616,1.7992502111224832e+17
0.11421052631578947,12.631578947368421,1.710495337350459e+17,-8.007304845103376e-09,0.047619047619047616,1.710495337350459e+17
0.11421052631578947,13.68421052631579,1.6281493343976944e+17,-8.007304845103376e-09,0.047619047619047616,1.6281493343976944e+17
0.11421052631578947,14.736842105263158,1.5516096979814576e+17,-8.007304845103376e-09,0.047619047619047616,1.5516096979814576e+17
0.11421052631578947,15.789473684210526,1.4803430974712538e+17,-8.007304845103376e-09,0.047619047619047616,1.4803430974712538e+17
0.11421052631578947,16.842105263157894,1.413876059989177e+17,-8.007304845103376e-09,0.047619047619047616,1.413876059989177e+17
0.11421052631578947,17.894736842105264,1.3517870860323072e+17,-8.007304845103376e-09,0.047619047619047616,1.3517870860323072e+17
0.11421052631578947,18.94736842105263,1.2936999506279549e+17,-8.007304845103376e-09,0.047619047619047616,1.2936999506279549e+17
0.11421052631578947,20.0,1.2392779905848064e+17,-8.007304845103376e-09,0.047619047619047616,1.2392779905848064e+17
0.16631578947368422,0.0,3.4879735216322214e+17,3.3861426876978187e-10,0.047619047619047616,3.4879735216322214e+17
0.16631578947368422,1.0526315789473684,3.251874452047237e+17,3.3861426876978187e-10,0.047619047619047616,3.251874452047237e+17
0.16631578947368422,2.1052631578947367,3.038960675624615e+17,3.3861426876978187e-10,0.047619047619047616,3.038960675624615e+17
0.16631578947368422,3.1578947368421053,2.846292885304883e+17,3.3861426876978187e-10,0.047619047619047616,2.846292885304883e+17
0.16631578947368422,4.2105263157894735,2.6713832166134797e+17,3.3861426876978187e-10,0.047619047619047616,2.6713832166134797e+17
0.16631578947368422,5.263157894736842,2.5121145298057018e+17,3.3861426876978187e-10,0.047619047619047616,2.5121145298057018e+17
0.16631578947368422,6.315789473684211,2.3666760413600307e+17,3.3861426876978187e-10,0.047619047619047616,2.3666760413600307e+17
0.16631578947368422,7.368421052631579,2.2335116268635446e+17,3.3861426876978187e-10,0.047619047619047616,2.2335116268635446e+17
0.16631578947368422,8.421052631578947,2.1112780226372342e+17,3.3861426876978187e-10,0.047619047619047616,2.1112780226372342e+17
0.16631578947368422,9.473684210526315,1.9988108177645446e+17,3.3861426876978187e-10,0.047619047619047616,1.9988108177645446e+17
0.16631578947368422,10.526315789473683,1.8950966202452934e+17,3.3861426876978187e-10,0.047619047619047616,1.8950966202452934e+17
0.16631578947368422,11.578947368421051,1.7992501486875133e+17,3.3861426876978187e-10,0.047619047619047616,1.7992501486875133e+17
0.16631578947368422,12.631578947368421,1.710495277995332e+17,3.3861426876978187e-10,0.047619047619047616,1.710495277995332e+17
0.16631578947368422,13.68421052631579,1.628149277900019e+17,3.3861426876978187e-10,0.047619047619047616,1.628149277900019e+17
0.16631578947368422,14.736842105263158,1.5516096441397494e+17,3.3861426876978187e-10,0.047619047619047616,1.5516096441397494e+17
0.16631578947368422,15.789473684210526,1.480343046102536e+17,3.3861426876978187e-10,0.047619047619047616,1.480343046102536e+17
0.16631578947368422,16.842105263157894,1.4138760109269016e+17,3.3861426876978187e-10,0.047619047619047616,1.4138760109269016e+17
