mu_g,b,Γ_sch/Γ0,Γ_total/Γ0,Γ_inst,m
0.12,17.77777777777778,0.0,0.0,0.0,1.670000000000007e-27
0.12,20.0,22.714278466235907,22.714278466235907,0.0,9.10999999999999e-31
0.12,20.0,1006326525131809.8,1006326525131809.8,0.0,2.6649528724626883e-30
0.12,20.0,6.038281931167871e+131,6.038281931167871e+131,0.0,7.795800013663226e-30
0.12,20.0,0.0,0.0,0.0,2.2805092908404498e-29
0.12,20.0,0.0,0.0,0.0,6.671185274756434e-29
0.12,20.0,0.0,0.0,0.0,1.951525176804936e-28
0.12,20.0,0.0,0.0,0.0,5.708806394741622e-28
0.12,20.0,0.0,0.0,0.0,1.670000000000007e-27
0.23,0.0,63.92981104894232,63.92981104894232,0.0,9.10999999999999e-31
0.23,0.0,2832327875683248.5,2832327875683248.5,0.0,2.6649528724626883e-30
0.23,0.0,1.699491974149905e+132,1.699491974149905e+132,0.0,7.795800013663226e-30
0.23,0.0,0.0,0.0,0.0,2.2805092908404498e-29
0.23,0.0,0.0,0.0,0.0,6.671185274756434e-29
0.23,0.0,0.0,0.0,0.0,1.951525176804936e-28
0.23,0.0,0.0,0.0,0.0,5.708806394741622e-28
0.23,0.0,0.0,0.0,0.0,1.670000000000007e-27
0.23,2.2222222222222223,55.29021974403401,55.29021974403401,0.0,9.10999999999999e-31
0.23,2.2222222222222223,2449561918989446.0,2449561918989446.0,0.0,2.6649528724626883e-30
0.23,2.2222222222222223,1.469819528045125e+132,1.469819528045125e+132,0.0,7.795800013663226e-30
0.23,2.2222222222222223,0.0,0.0,0.0,2.2805092908404498e-29
0.23,2.2222222222222223,0.0,0.0,0.0,6.671185274756434e-29
0.23,2.2222222222222223,0.0,0.0,0.0,1.951525176804936e-28
0.23,2.2222222222222223,0.0,0.0,0.0,5.708806394741622e-28
0.23,2.2222222222222223,0.0,0.0,0.0,1.670000000000007e-27
0.23,4.444444444444445,48.290589498282216,48.290589498282216,0.0,9.10999999999999e-31
0.23,4.444444444444445,2139452323180678.2,2139452323180678.2,0.0,2.6649528724626883e-30
0.23,4.444444444444445,1.283743341842023e+132,1.283743341842023e+132,0.0,7.795800013663226e-30
0.23,4.444444444444445,0.0,0.0,0.0,2.2805092908404498e-29
0.23,4.444444444444445,0.0,0.0,0.0,6.671185274756434e-29
0.23,4.444444444444445,0.0,0.0,0.0,1.951525176804936e-28
0.23,4.444444444444445,0.0,0.0,0.0,5.708806394741622e-28
0.23,4.444444444444445,0.0,0.0,0.0,1.670000000000007e-27
0.23,6.666666666666667,42.54067220073135,42.54067220073135,0.0,9.10999999999999e-31
0.23,6.666666666666667,1884709648714475.0,1884709648714475.0,0.0,2.6649528724626883e-30
0.23,6.666666666666667,1.1308891703862e+132,1.1308891703862e+132,0.0,7.795800013663226e-30
0.23,6.666666666666667,0.0,0.0,0.0,2.2805092908404498e-29
0.23,6.666666666666667,0.0,0.0,0.0,6.671185274756434e-29
0.23,6.666666666666667,0.0,0.0,0.0,1.951525176804936e-28
0.23,6.666666666666667,0.0,0.0,0.0,5.708806394741622e-28
