mu_g,b,gamma_ratio,E_crit_ratio,combined_metric
0.12631578947368421,3.3333333333333335,1931.703311709323,0.9485977773711131,2036.377648978611
0.12631578947368421,3.75,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,4.166666666666667,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,4.583333333333334,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,5.0,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,5.416666666666667,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,5.833333333333334,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,6.25,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,6.666666666666667,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,7.083333333333334,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,7.5,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,7.916666666666667,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,8.333333333333334,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,8.75,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,9.166666666666668,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,9.583333333333334,10000.0,0.9485977773711131,10541.875849333528
0.12631578947368421,10.0,10000.0,0.9485977773711131,10541.875849333528
0.15263157894736842,0.0,1.0,0.9256693263964764,1.0802993806577608
0.15263157894736842,0.4166666666666667,1.2976729254175325,0.9256693263964764,1.401875257624905
0.15263157894736842,0.8333333333333334,1.7511155096207247,0.9256693263964764,1.891729000503468
0.15263157894736842,1.25,2.491509873980328,0.9256693263964764,2.6915765737636437
0.15263157894736842,1.6666666666666667,3.8240086169976473,0.9256693263964764,4.131074140572498
0.15263157894736842,2.0833333333333335,6.600988215420868,0.9256693263964764,7.131043480848341
0.15263157894736842,2.5,14.020645107696387,0.9256693263964764,15.14649422626667
0.15263157894736842,2.916666666666667,47.622530661610845,0.9256693263964764,51.446590379093415
0.15263157894736842,3.3333333333333335,1931.703311709323,0.9256693263964764,2086.817891254127
0.15263157894736842,3.75,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,4.166666666666667,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,4.583333333333334,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,5.0,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,5.416666666666667,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,5.833333333333334,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,6.25,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,6.666666666666667,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,7.083333333333334,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,7.5,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,7.916666666666667,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,8.333333333333334,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,8.75,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,9.166666666666668,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,9.583333333333334,10000.0,0.9256693263964764,10802.993806577608
0.15263157894736842,10.0,10000.0,0.9256693263964764,10802.993806577608
